Player,Ratings,Salaries,Pos,Age,Tm,G,GS,MP,FG,FGA,FGp,3P,3PA,threePp,2P,2PA,twoPp,eFG%,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Brook Lopez,79,"$12,093,024",C,31,MIL,61,60,26.6,4.0,9.4,.427,1.4,4.7,.296,2.6,4.7,.557,.501,1.6,2.0,.810,0.7,3.8,4.5,1.6,0.7,2.4,1.0,2.4,11.0
JaVale McGee,79,"$4,000,000",C,32,LAL,61,61,16.8,3.0,4.6,.640,0.0,0.1,.500,2.9,4.5,.643,.645,0.8,1.2,.653,1.8,4.0,5.8,0.6,0.5,1.5,0.8,2.4,6.8
Mitchell Robinson,79,"$1,559,712",C,21,NYK,61,7,23.1,4.1,5.6,.742,0.0,0.0,,4.1,5.6,.742,.742,1.4,2.4,.568,3.0,4.0,7.0,0.6,0.9,2.0,0.6,3.2,9.7
Terrence Ross,79,"$12,500,000",SG,28,ORL,63,0,27.3,5.0,12.3,.407,2.6,7.2,.357,2.4,5.1,.477,.511,2.2,2.6,.845,0.2,3.0,3.2,1.2,1.1,0.3,1.0,1.5,14.8
Tristan Thompson,79,"$18,539,130",C,28,CLE,57,51,30.2,5.1,9.9,.512,0.2,0.4,.391,4.9,9.5,.518,.520,1.7,2.8,.615,4.0,6.2,10.1,2.1,0.6,0.9,1.8,2.2,12.0
Fred VanVleet,79,"$9,346,153",PG,25,TOR,48,48,35.8,6.0,14.6,.409,2.7,7.0,.388,3.3,7.6,.430,.503,2.9,3.5,.843,0.4,3.4,3.8,6.6,1.9,0.3,2.3,2.5,17.6
Andrew Wiggins,79,"$27,504,630",SF-SG,24,GSW,54,54,34.4,8.1,18.1,.447,2.1,6.2,.332,6.0,11.9,.506,.504,3.5,5.0,.709,1.2,3.9,5.1,3.7,0.8,1.0,2.4,2.4,21.8
Thaddeus Young,79,"$12,900,000",PF,31,CHI,64,16,24.9,4.2,9.4,.448,1.2,3.5,.356,3.0,5.9,.501,.513,0.7,1.1,.583,1.5,3.5,4.9,1.8,1.4,0.4,1.6,2.1,10.3
RJ Barrett,78,"$7,839,960",SG,19,NYK,56,55,30.4,5.2,13.0,.402,1.1,3.5,.320,4.1,9.5,.432,.445,2.8,4.5,.614,0.9,4.1,5.0,2.6,1.0,0.3,2.2,2.2,14.3
Ricky Rubio,78,"$16,200,000",PG,29,PHO,57,57,31.6,4.4,10.7,.412,1.2,3.3,.351,3.3,7.4,.440,.466,3.1,3.6,.853,0.7,3.9,4.6,8.9,1.5,0.2,2.7,2.5,13.1
Will Barton,78,"$12,776,786",SF,29,DEN,58,58,33.0,5.7,12.7,.450,1.9,5.0,.375,3.9,7.8,.498,.523,1.8,2.3,.767,1.3,5.0,6.3,3.7,1.1,0.5,1.5,2.1,15.1
Thomas Bryant,78,"$8,000,000",C,22,WAS,38,28,23.7,4.8,8.1,.599,0.6,1.4,.407,4.3,6.7,.640,.635,1.8,2.5,.737,2.0,4.9,6.8,1.9,0.4,0.9,1.3,2.2,12.1
Jordan Clarkson,78,"$13,437,500",SG,27,UTA,63,0,24.2,5.6,12.0,.465,2.1,5.6,.368,3.5,6.3,.550,.551,1.9,2.3,.841,0.7,1.9,2.7,2.0,0.7,0.2,1.3,1.5,15.1
Evan Fournier,78,"$17,150,000",SG,27,ORL,61,61,31.7,6.7,14.2,.470,2.7,6.7,.406,4.0,7.6,.525,.564,2.8,3.4,.820,0.3,2.3,2.6,3.2,1.1,0.2,2.0,2.4,18.8
Eric Gordon,78,"$14,057,730",SG,31,HOU,34,13,28.6,4.8,12.9,.370,2.7,8.5,.319,2.1,4.4,.467,.475,2.3,3.0,.757,0.2,1.7,1.9,1.5,0.6,0.4,1.1,2.0,14.5
JaMychal Green,78,"$4,767,000",PF,29,LAC,55,0,20.5,2.3,5.5,.414,1.3,3.7,.363,0.9,1.8,.520,.536,0.6,0.8,.727,1.4,5.0,6.3,0.8,0.5,0.4,0.8,2.7,6.5
Joe Harris,78,"$7,666,667",SF,28,BRK,63,63,30.9,5.3,11.2,.471,2.4,5.9,.412,2.9,5.3,.536,.579,1.0,1.3,.747,1.0,3.4,4.3,2.1,0.6,0.3,1.5,2.2,13.9
Andre Iguodala,78,"$17,185,185",SG,36,MIA,14,0,18.5,1.8,3.6,.490,0.6,1.7,.375,1.1,1.9,.593,.578,0.1,0.6,.250,0.7,3.1,3.8,2.0,0.6,1.1,1.2,2.0,4.4
Caris LeVert,78,"$2,625,717",SG,25,BRK,39,25,29.0,6.5,15.6,.414,1.8,4.8,.381,4.6,10.8,.429,.473,3.0,4.1,.720,1.0,3.1,4.1,4.1,1.1,0.2,2.5,1.8,17.7
Marcus Morris,78,"$15,000,000",SF-PF,30,LAC,55,55,31.4,5.9,13.6,.433,2.4,5.9,.410,3.5,7.7,.451,.522,3.1,3.8,.823,1.0,4.1,5.1,1.4,0.8,0.5,1.6,2.9,17.4
Dejounte Murray,78,"$2,321,735",PG,23,SAS,58,50,24.9,4.4,9.3,.475,0.6,1.6,.378,3.8,7.7,.494,.507,1.3,1.6,.798,1.2,4.6,5.8,4.1,1.7,0.3,1.9,2.2,10.7
Kelly Olynyk,78,"$12,667,885",C,28,MIA,59,6,18.5,2.6,5.4,.476,1.4,3.1,.432,1.2,2.2,.538,.603,1.2,1.4,.854,0.6,3.8,4.4,1.6,0.6,0.3,1.1,2.4,7.7
Jabari Parker,78,"$6,500,000",PF,24,SAC,33,23,25.8,6.0,12.1,.499,0.9,3.5,.267,5.1,8.6,.594,.538,1.7,2.2,.743,1.6,4.3,5.9,1.8,1.3,0.5,1.8,2.8,14.7
Bobby Portis,78,"$15,000,000",C,24,NYK,66,5,21.1,4.0,8.9,.450,1.0,2.8,.358,3.0,6.1,.493,.507,1.1,1.4,.763,1.2,3.9,5.1,1.5,0.5,0.3,1.1,1.7,10.1
Terry Rozier,78,"$19,894,737",PG,25,CHO,63,63,34.3,6.3,14.9,.423,2.7,6.7,.407,3.6,8.2,.436,.514,2.6,3.0,.874,0.8,3.6,4.4,4.1,1.0,0.2,2.2,2.0,18.0
Jeff Teague,78,"$19,000,000",PG,31,ATL,59,17,24.8,3.6,8.3,.436,0.7,2.0,.368,2.9,6.3,.457,.480,2.9,3.3,.873,0.5,1.9,2.4,5.2,0.7,0.3,2.0,1.8,10.9
Derrick White,78,"$1,948,080",SG,25,SAS,61,13,24.1,3.5,7.6,.459,0.9,2.6,.356,2.6,5.0,.513,.520,2.5,2.9,.857,0.5,2.7,3.2,3.4,0.6,0.9,1.2,2.2,10.4
Justise Winslow,78,"$13,000,000",SF,23,MIA,11,5,32.0,4.5,11.7,.388,0.5,2.5,.222,4.0,9.3,.431,.411,1.6,2.5,.667,1.5,5.2,6.6,4.0,0.6,0.5,2.2,3.5,11.3
Darius Garland,77,"$6,400,920",PG,20,CLE,59,59,30.9,4.7,11.8,.401,1.8,5.0,.355,3.0,6.8,.434,.476,1.1,1.2,.875,0.5,1.4,1.9,3.9,0.7,0.1,2.6,1.6,12.3
De'Andre Hunter,77,"$7,068,360",SF,22,ATL,63,62,32.0,4.4,10.8,.410,1.7,4.8,.355,2.7,6.0,.454,.489,1.7,2.3,.764,0.7,3.8,4.5,1.8,0.7,0.3,1.6,2.9,12.3
Al-Farouq Aminu,77,"$9,258,000",PF,29,ORL,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
Mo Bamba,77,"$5,697,600",C,21,ORL,60,0,14.5,2.2,4.7,.468,0.6,1.7,.356,1.6,3.0,.534,.534,0.5,0.8,.674,1.6,3.4,5.0,0.7,0.4,1.4,0.7,1.9,5.5
Nicolas Batum,77,"$25,565,217",SF,31,CHO,22,3,23.0,1.3,3.7,.346,0.6,2.2,.286,0.6,1.5,.438,.432,0.4,0.5,.900,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6
Malik Beasley,77,"$2,731,713",SG,23,MIN,55,14,22.0,4.1,9.7,.425,1.9,5.0,.388,2.2,4.7,.465,.525,1.0,1.2,.818,0.3,2.4,2.7,1.4,0.7,0.1,1.0,1.4,11.2
Nemanja Bjelica,77,"$6,825,000",PF,31,SAC,64,61,28.5,4.5,9.4,.475,2.0,4.6,.424,2.5,4.8,.524,.579,0.9,1.1,.822,1.7,4.8,6.4,2.8,0.8,0.5,1.4,3.0,11.9
DeMarre Carroll,77,"$7,339,258",SF,33,HOU,21,0,11.0,1.0,2.6,.389,0.3,1.3,.259,0.7,1.3,.519,.454,1.1,1.7,.667,0.5,1.7,2.2,0.9,0.2,0.2,0.8,1.3,3.5
Ed Davis,77,"$4,767,000",C,30,UTA,25,0,10.7,0.6,1.4,.412,0.0,0.0,,0.6,1.4,.412,.412,0.2,0.4,.455,1.2,2.6,3.8,0.3,0.4,0.4,0.5,2.2,1.3
Taj Gibson,77,"$9,000,000",C,34,NYK,62,56,16.5,2.7,4.6,.584,0.1,0.2,.286,2.6,4.4,.599,.591,0.7,0.9,.732,1.8,2.5,4.3,0.8,0.4,0.5,0.8,2.0,6.1
Jerami Grant,77,"$9,346,153",PF,25,DEN,64,22,26.2,4.1,8.7,.471,1.4,3.4,.400,2.7,5.3,.518,.550,2.0,2.7,.744,0.8,2.7,3.5,1.2,0.7,0.8,0.9,2.2,11.6
Danny Green,77,"$14,634,147",SG,32,LAL,61,61,25.1,2.9,7.0,.419,1.9,4.9,.378,1.1,2.1,.516,.552,0.5,0.7,.727,0.7,2.7,3.4,1.4,1.2,0.5,0.9,2.1,8.2
Alex Len,77,"$4,160,000",C,26,SAC,49,9,18.3,3.4,6.2,.556,0.3,1.1,.250,3.1,5.0,.626,.579,1.2,1.9,.637,1.9,4.1,6.0,1.0,0.4,0.9,1.0,2.3,8.3
Kevon Looney,77,"$4,464,286",C,23,GSW,20,4,13.1,1.5,4.0,.367,0.1,0.7,.071,1.4,3.3,.431,.373,0.5,0.6,.750,1.4,1.9,3.3,1.0,0.6,0.3,0.6,1.7,3.4
Monte Morris,77,"$1,588,231",PG,24,DEN,65,8,21.6,3.4,7.4,.459,0.8,2.2,.375,2.6,5.2,.494,.514,0.8,1.0,.823,0.3,1.4,1.7,3.5,0.8,0.2,0.7,1.0,8.4
Nerlens Noel,77,"$1,882,867",C,25,OKC,55,6,18.4,3.2,4.6,.685,0.0,0.1,.333,3.1,4.6,.689,.687,1.4,1.8,.765,1.5,3.4,4.9,1.0,1.0,1.5,1.0,2.6,7.7
Mason Plumlee,77,"$14,041,096",C,29,DEN,53,1,17.0,2.9,4.7,.617,0.0,0.1,.000,2.9,4.6,.627,.617,1.4,2.6,.536,1.7,3.6,5.3,2.4,0.5,0.6,1.4,2.4,7.2
Jakob Poeltl,77,"$3,754,885",C,24,SAS,58,10,16.6,2.3,3.8,.619,0.0,0.0,,2.3,3.8,.619,.619,0.6,1.3,.486,1.8,3.6,5.3,1.8,0.5,1.4,0.8,1.7,5.3
Dwight Powell,77,"$10,259,375",C,28,DAL,40,37,26.5,3.7,5.7,.638,0.3,1.0,.256,3.4,4.8,.716,.659,1.9,2.8,.667,1.9,3.8,5.7,1.5,0.9,0.6,0.9,2.6,9.4
Taurean Prince,77,"$3,481,985",SF,25,BRK,64,61,29.0,4.3,11.5,.376,2.3,6.7,.339,2.1,4.8,.429,.475,1.1,1.4,.798,0.8,5.2,6.0,1.8,0.9,0.4,2.0,2.5,12.1
Collin Sexton,77,"$4,764,960",SG,21,CLE,65,65,33.0,7.9,16.7,.472,1.5,3.9,.380,6.4,12.8,.501,.517,3.5,4.1,.846,0.9,2.2,3.1,3.0,1.0,0.1,2.4,2.2,20.8
Cody Zeller,77,"$14,471,910",C,27,CHO,58,39,23.1,4.3,8.3,.524,0.3,1.3,.240,4.0,7.0,.577,.543,2.1,3.1,.682,2.8,4.3,7.1,1.5,0.7,0.4,1.3,2.4,11.1
Ivica Zubac,77,"$6,481,482",C,22,LAC,64,62,18.1,3.2,5.3,.601,0.0,0.0,.000,3.2,5.2,.605,.601,1.7,2.2,.759,2.6,4.6,7.2,1.1,0.2,0.9,0.8,2.3,8.0
Jarrett Culver,77,"$5,813,640",SG,20,MIN,63,35,23.9,3.7,9.0,.404,1.0,3.5,.299,2.6,5.5,.471,.462,0.9,1.9,.462,1.1,2.3,3.4,1.7,0.9,0.6,1.3,2.0,9.2
Trevor Ariza,76,"$12,200,000",SF,34,POR,53,21,28.2,2.7,6.1,.438,1.5,3.9,.372,1.2,2.2,.556,.557,1.2,1.4,.838,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1,8.0
Avery Bradley,76,"$6,767,000",SG,29,LAL,49,44,24.2,3.5,7.8,.444,1.3,3.5,.364,2.2,4.3,.510,.526,0.4,0.5,.833,0.4,2.0,2.3,1.3,0.9,0.1,1.0,2.2,8.6
Miles Bridges,76,"$3,755,400",SF,21,CHO,65,64,30.7,4.9,11.6,.424,1.5,4.6,.330,3.4,7.0,.486,.489,1.6,2.0,.809,1.4,4.2,5.6,1.8,0.6,0.7,1.5,2.0,13.0
Jalen Brunson,76,"$1,416,852",PG,23,DAL,57,16,17.9,3.2,6.8,.466,0.8,2.1,.358,2.4,4.7,.515,.522,1.1,1.3,.813,0.4,2.0,2.4,3.3,0.4,0.1,1.2,1.3,8.2
Kentavious Caldwell-Pope,76,"$8,089,282",SG,26,LAL,63,20,25.4,3.5,7.4,.472,1.4,3.5,.394,2.1,3.9,.543,.565,1.2,1.5,.779,0.6,1.5,2.1,1.7,0.8,0.2,0.9,1.9,9.5
Jae Crowder,76,"$7,815,533",SF,29,MIA,58,46,29.2,3.4,8.8,.384,1.9,6.1,.318,1.4,2.7,.532,.494,1.6,2.1,.785,0.8,5.3,6.1,2.6,1.2,0.4,1.1,2.2,10.4
Dewayne Dedmon,76,"$13,333,334",C,30,ATL,44,18,17.6,2.3,5.8,.400,0.5,2.4,.206,1.8,3.4,.541,.443,0.7,0.8,.833,1.4,4.3,5.7,0.5,0.6,0.9,1.3,3.0,5.8
Gorgui Dieng,76,"$16,229,213",C,30,MEM,58,17,17.4,2.7,5.9,.461,0.9,2.4,.359,1.8,3.5,.532,.535,1.1,1.4,.735,1.5,4.3,5.8,1.2,0.8,1.0,0.9,1.9,7.4
Jeff Green,76,"$3,405,180",PF,33,HOU,40,2,18.9,2.9,6.5,.444,1.2,3.5,.348,1.7,3.1,.553,.536,1.4,1.8,.781,0.6,2.3,2.8,0.8,0.5,0.4,0.9,1.6,8.4
Rodney Hood,76,"$5,718,000",SF,27,POR,21,21,29.5,4.1,8.2,.506,1.7,3.4,.493,2.5,4.8,.515,.608,1.0,1.3,.778,0.5,3.0,3.4,1.5,0.8,0.2,0.9,2.2,11.0
Kevin Huerter,76,"$2,636,280",SG,21,ATL,56,48,31.4,4.5,10.9,.413,2.3,6.0,.380,2.2,4.9,.453,.517,0.9,1.1,.828,0.6,3.4,4.1,3.8,0.9,0.5,1.6,2.5,12.2
Jonathan Isaac,76,"$5,806,440",SF,22,ORL,32,32,29.7,4.7,10.1,.463,0.9,2.8,.330,3.7,7.2,.515,.509,1.8,2.3,.767,1.8,5.2,6.9,1.4,1.6,2.4,1.5,2.5,12.0
Josh Jackson,76,"$7,059,480",SG,22,MEM,18,0,19.8,3.8,8.6,.439,1.3,4.0,.319,2.5,4.6,.542,.513,1.6,2.4,.659,0.6,2.6,3.2,1.7,1.0,0.5,1.4,2.2,10.4
Frank Kaminsky,76,"$4,767,000",C,26,PHO,32,13,22.4,4.0,8.7,.455,1.2,3.5,.348,2.8,5.2,.527,.525,1.8,2.8,.670,0.9,4.0,4.9,2.2,0.4,0.3,1.0,2.2,11.0
Michael Kidd-Gilchrist,76,"$12,784,359",PF-SF,26,DAL,21,0,11.0,0.9,2.9,.317,0.2,1.0,.250,0.7,1.9,.350,.358,0.4,0.5,.818,0.6,2.0,2.6,0.6,0.1,0.2,0.6,1.5,2.5
Kevin Knox,76,"$4,380,120",SF,20,NYK,65,4,17.9,2.2,6.2,.359,1.0,3.1,.327,1.2,3.1,.391,.440,1.0,1.6,.653,0.4,2.4,2.8,0.9,0.4,0.4,0.7,1.6,6.4
Meyers Leonard,76,"$11,286,515",C,27,MIA,49,49,20.1,2.4,4.6,.520,1.0,2.4,.429,1.3,2.1,.625,.635,0.3,0.5,.654,0.6,4.5,5.1,1.1,0.3,0.3,0.7,2.1,6.1
Wesley Matthews,76,"$2,564,753",SG,33,MIL,62,62,24.7,2.6,6.5,.397,1.6,4.5,.365,0.9,2.0,.468,.522,0.8,1.0,.762,0.3,2.2,2.6,1.5,0.6,0.1,0.7,1.5,7.5
Emmanuel Mudiay,76,"$1,737,145",PG,23,UTA,48,1,15.7,2.8,6.0,.471,0.6,1.6,.355,2.3,4.4,.512,.517,1.1,1.4,.754,0.4,2.0,2.4,2.2,0.4,0.2,1.4,1.3,7.3
Jahlil Okafor,76,"$1,702,486",C,24,NOP,28,9,15.1,3.1,5.1,.611,0.0,0.1,.500,3.1,5.1,.613,.615,1.3,2.1,.638,1.6,2.6,4.3,1.3,0.3,0.7,1.3,2.3,7.6
Elfrid Payton,76,"$8,000,000",PG,25,NYK,45,36,27.7,4.3,9.8,.439,0.3,1.5,.203,4.0,8.2,.482,.455,1.1,1.9,.570,1.2,3.6,4.7,7.2,1.6,0.4,2.1,2.0,10.0
Austin Rivers,76,"$2,174,310",SG,27,HOU,60,4,23.4,3.0,7.2,.421,1.4,3.9,.358,1.7,3.3,.495,.517,1.0,1.5,.667,0.4,2.0,2.4,1.6,0.7,0.2,0.6,1.9,8.5
Rajon Rondo,76,"$2,564,753",PG,33,LAL,48,3,20.5,2.9,6.8,.418,0.9,2.6,.328,2.0,4.2,.473,.480,0.6,0.9,.659,0.5,2.5,3.0,5.0,0.8,0.0,1.9,1.2,7.1
Landry Shamet,76,"$1,995,120",SG,22,LAC,47,27,27.5,3.1,7.5,.416,2.2,5.7,.392,0.9,1.8,.494,.566,1.2,1.3,.905,0.1,1.8,1.9,1.9,0.4,0.2,0.8,2.8,9.7
Daniel Theis,76,"$5,000,000",C,27,BOS,58,57,23.8,3.7,6.6,.565,0.4,1.4,.321,3.3,5.2,.631,.599,1.4,1.8,.764,2.2,4.3,6.6,1.6,0.6,1.3,0.8,3.5,9.3
Isaiah Thomas,76,"$2,320,044",PG,30,WAS,40,37,23.1,4.4,10.7,.408,2.0,4.7,.413,2.4,5.9,.405,.500,1.6,1.9,.816,0.3,1.4,1.7,3.7,0.3,0.2,1.9,1.9,12.2
Dion Waiters,76,"$12,603,656",SG,28,MIA,3,0,14.0,3.3,8.7,.385,2.7,5.7,.471,0.7,3.0,.222,.538,0.0,0.3,.000,0.0,3.7,3.7,1.0,0.0,0.7,1.0,1.7,9.3
Marvin Williams,76,"$14,654,179",PF,33,MIL,52,1,19.4,2.1,4.8,.442,1.0,2.8,.361,1.1,2.0,.552,.546,0.9,1.0,.870,0.4,2.5,2.8,1.1,0.7,0.5,0.5,1.8,6.1
Delon Wright,76,"$9,473,684",SG,27,DAL,65,5,21.7,2.8,5.9,.470,0.7,1.8,.385,2.1,4.1,.508,.529,1.1,1.4,.789,1.0,3.0,4.0,3.4,1.2,0.3,1.0,1.3,7.3
Coby White,76,"$5,307,120",SG,19,CHI,65,1,25.8,4.8,12.2,.394,2.0,5.8,.354,2.8,6.4,.430,.478,1.6,2.0,.791,0.4,3.1,3.5,2.7,0.8,0.1,1.7,1.8,13.2
Aron Baynes,75,"$5,453,280",C,33,PHO,42,28,22.2,4.4,9.1,.480,1.4,4.0,.351,3.0,5.1,.582,.558,1.3,1.8,.747,1.7,4.0,5.6,1.6,0.2,0.5,1.2,3.4,11.5
Kent Bazemore,75,"$19,269,663",SF-SG,30,SAC,64,21,25.1,2.9,7.7,.374,1.2,3.6,.342,1.7,4.2,.401,.453,1.7,2.2,.768,0.4,4.0,4.3,1.3,1.1,0.6,1.3,2.8,8.7
Marco Belinelli,75,"$5,846,154",SG,33,SAS,52,0,15.0,2.0,5.2,.391,1.1,3.0,.368,0.9,2.2,.422,.496,0.6,0.8,.780,0.1,1.7,1.7,1.2,0.2,0.0,0.3,0.8,5.8
Bismack Biyombo,75,"$17,000,000",C,27,CHO,53,29,19.4,2.8,5.2,.543,0.0,0.0,,2.8,5.2,.543,.543,1.7,2.8,.603,2.3,3.5,5.8,0.9,0.2,0.9,0.9,2.2,7.4
Mikal Bridges,75,"$4,161,000",SF,23,PHO,65,24,27.3,3.2,6.3,.516,0.9,2.4,.352,2.4,3.8,.621,.585,1.4,1.6,.848,0.9,3.1,4.0,1.8,1.4,0.6,1.0,2.2,8.7
Wilson Chandler,75,"$2,564,753",SF,32,BRK,35,3,21.0,2.1,5.2,.404,1.1,3.5,.306,1.1,1.8,.597,.505,0.6,0.7,.870,0.3,3.8,4.1,1.1,0.5,0.3,1.0,2.3,5.9
Damyean Dotson,75,"$1,618,520",SG,25,NYK,48,0,17.4,2.5,6.0,.414,1.2,3.4,.362,1.3,2.6,.480,.516,0.5,0.7,.667,0.2,1.7,1.9,1.2,0.5,0.1,0.4,0.9,6.7
